CardID	DispositionID	Type	IssuedDate	ExpirationDate
75	457	Classic	2020-07-29	2023-07-29
76	464	Classic	2021-12-23	2024-12-23
77	466	Classic	2021-08-13	2024-08-13
78	468	Classic	2021-08-04	2024-08-04
79	469	Classic	2021-09-02	2024-09-02
80	471	Classic	2021-06-25	2024-06-25
81	473	Classic	2020-12-17	2023-12-17
82	474	Classic	2020-05-07	2023-05-07
83	483	Classic	2021-01-05	2024-01-05
84	487	Classic	2019-06-26	2022-06-26
85	489	Classic	2018-12-31	2021-12-31
86	490	Classic	2020-11-28	2023-11-28
87	493	Classic	2019-11-02	2022-11-02
88	496	Classic	2019-11-04	2022-11-04
89	497	Classic	2021-04-22	2024-04-22
90	503	Classic	2020-06-04	2023-06-04
91	504	Junior	2020-09-01	2023-09-01
92	508	Classic	2018-11-20	2021-11-20
93	510	Classic	2020-11-09	2023-11-09
94	513	Classic	2020-11-06	2023-11-06
95	519	Junior	2021-08-01	2024-08-01
96	528	Classic	2021-08-26	2024-08-26
97	531	Junior	2018-09-19	2021-09-19
98	537	Classic	2018-09-06	2021-09-06
99	548	Gold	2019-10-09	2022-10-09
100	562	Gold	2021-02-21	2024-02-21
101	566	Classic	2021-06-19	2024-06-19
102	575	Classic	2021-11-12	2024-11-12
103	584	Junior	2019-08-17	2022-08-17
104	588	Classic	2017-01-19	2020-01-19
105	590	Classic	2020-01-17	2023-01-17
106	592	Classic	2019-01-14	2022-01-14
107	593	Classic	2018-06-27	2021-06-27
108	597	Classic	2020-06-25	2023-06-25
109	605	Classic	2021-04-26	2024-04-26
110	608	Classic	2020-05-31	2023-05-31
111	615	Classic	2021-06-05	2024-06-05
112	626	Junior	2020-01-19	2023-01-19
113	629	Junior	2018-11-16	2021-11-16
115	638	Classic	2020-07-30	2023-07-30
116	646	Classic	2021-10-11	2024-10-11
117	649	Junior	2019-11-23	2022-11-23
118	652	Classic	2018-10-22	2021-10-22
119	655	Classic	2019-08-08	2022-08-08
120	662	Classic	2020-07-03	2023-07-03
121	666	Junior	2019-07-22	2022-07-22
122	667	Junior	2020-07-03	2023-07-03
123	679	Classic	2021-06-12	2024-06-12
124	688	Classic	2020-10-10	2023-10-10
125	694	Gold	2021-12-26	2024-12-26
126	707	Classic	2021-05-23	2024-05-23
127	714	Classic	2019-05-23	2022-05-23
128	716	Classic	2021-08-19	2024-08-19
129	719	Classic	2021-11-05	2024-11-05
130	722	Classic	2020-12-29	2023-12-29
131	725	Classic	2021-12-08	2024-12-08
132	731	Junior	2021-02-26	2024-02-26
133	742	Classic	2020-06-16	2023-06-16
134	769	Classic	2021-09-07	2024-09-07
136	778	Classic	2018-07-28	2021-07-28
137	786	Junior	2020-01-10	2023-01-10
138	791	Classic	2021-11-02	2024-11-02
139	797	Classic	2020-07-14	2023-07-14
140	798	Classic	2020-08-22	2023-08-22
141	808	Classic	2021-09-15	2024-09-15
142	810	Classic	2021-07-01	2024-07-01
143	816	Classic	2021-06-15	2024-06-15
145	819	Classic	2020-06-17	2023-06-17
146	822	Classic	2021-07-23	2024-07-23
147	826	Junior	2021-12-13	2024-12-13
148	834	Classic	2021-11-22	2024-11-22
149	858	Classic	2021-01-07	2024-01-07
150	859	Classic	2019-03-30	2022-03-30
151	861	Classic	2021-09-16	2024-09-16
152	876	Classic	2019-09-16	2022-09-16
153	886	Gold	2020-10-19	2023-10-19
154	887	Classic	2020-12-28	2023-12-28
155	900	Junior	2020-05-17	2023-05-17
156	906	Junior	2021-04-07	2024-04-07
157	907	Classic	2019-04-24	2022-04-24
158	928	Gold	2021-10-25	2024-10-25
159	946	Classic	2018-05-01	2021-05-01
160	954	Classic	2021-06-17	2024-06-17
161	963	Classic	2021-05-25	2024-05-25
162	967	Junior	2019-12-23	2022-12-23
163	984	Classic	2019-09-18	2022-09-18
164	992	Classic	2021-11-29	2024-11-29
165	996	Junior	2021-02-04	2024-02-04
166	999	Classic	2018-03-05	2021-03-05
167	1011	Classic	2018-09-15	2021-09-15
168	1018	Classic	2018-01-24	2021-01-24
169	1019	Classic	2021-08-10	2024-08-10
170	1020	Classic	2021-04-16	2024-04-16
171	1027	Classic	2020-03-05	2023-03-05
172	1030	Classic	2021-12-14	2024-12-14
173	1031	Classic	2021-06-21	2024-06-21
174	1039	Junior	2017-12-04	2020-12-04
175	1040	Classic	2020-01-03	2023-01-03
176	1049	Classic	2021-04-25	2024-04-25
177	1056	Classic	2021-11-19	2024-11-19
178	1057	Classic	2021-11-21	2024-11-21
179	1059	Classic	2021-08-10	2024-08-10
180	1062	Classic	2021-09-29	2024-09-29
181	1066	Classic	2017-08-19	2020-08-19
182	1067	Gold	2020-08-31	2023-08-31
183	1080	Classic	2019-05-08	2022-05-08
184	1089	Gold	2020-06-03	2023-06-03
185	1098	Classic	2020-09-07	2023-09-07
186	1133	Gold	2021-05-12	2024-05-12
187	1140	Classic	2020-09-07	2023-09-07
188	1146	Classic	2017-06-19	2020-06-19
189	1157	Classic	2020-02-19	2023-02-19
190	1165	Classic	2020-09-23	2023-09-23
191	1168	Junior	2021-04-02	2024-04-02
192	1169	Classic	2021-06-08	2024-06-08
193	1179	Gold	2021-09-21	2024-09-21
194	1182	Classic	2020-01-13	2023-01-13
195	1194	Classic	2020-02-03	2023-02-03
196	1197	Classic	2021-12-22	2024-12-22
197	1202	Junior	2019-10-21	2022-10-21
198	1211	Junior	2021-03-18	2024-03-18
199	1213	Classic	2020-02-07	2023-02-07
200	1220	Gold	2020-12-09	2023-12-09
201	1223	Classic	2021-12-08	2024-12-08
202	1228	Classic	2019-02-04	2022-02-04
203	1231	Classic	2021-09-16	2024-09-16
204	1239	Junior	2019-05-30	2022-05-30
205	1242	Classic	2021-11-16	2024-11-16
206	1243	Classic	2020-09-22	2023-09-22
207	1244	Classic	2021-05-25	2024-05-25
208	1246	Gold	2018-02-08	2021-02-08
209	1251	Classic	2021-07-31	2024-07-31
210	1253	Classic	2020-02-16	2023-02-16
211	1271	Classic	2020-06-10	2023-06-10
212	1280	Classic	2021-05-24	2024-05-24
213	1289	Gold	2020-06-11	2023-06-11
214	1292	Classic	2021-01-24	2024-01-24
215	1296	Classic	2021-03-02	2024-03-02
216	1310	Junior	2019-04-24	2022-04-24
217	1316	Classic	2021-11-09	2024-11-09
218	1322	Classic	2021-05-18	2024-05-18
219	1329	Classic	2021-12-04	2024-12-04
220	1333	Classic	2019-10-13	2022-10-13
221	1339	Classic	2021-08-10	2024-08-10
222	1345	Classic	2020-06-19	2023-06-19
223	1353	Classic	2018-04-18	2021-04-18
225	1359	Classic	2021-03-03	2024-03-03
226	1378	Classic	2020-04-18	2023-04-18
227	1380	Classic	2019-08-10	2022-08-10
228	1382	Junior	2021-03-15	2024-03-15
229	1384	Classic	2019-04-05	2022-04-05
230	1388	Gold	2021-10-25	2024-10-25
231	1390	Junior	2021-09-29	2024-09-29
232	1396	Classic	2020-05-01	2023-05-01
233	1418	Classic	2021-07-07	2024-07-07
234	1424	Classic	2020-09-29	2023-09-29
235	1438	Classic	2021-05-02	2024-05-02
236	1440	Junior	2021-01-29	2024-01-29
237	1445	Classic	2020-11-25	2023-11-25
238	1452	Gold	2020-08-17	2023-08-17
239	1453	Gold	2021-08-24	2024-08-24
240	1459	Classic	2021-12-23	2024-12-23
241	1461	Classic	2020-06-20	2023-06-20
242	1473	Classic	2021-09-24	2024-09-24
243	1478	Classic	2019-12-13	2022-12-13
244	1480	Classic	2021-03-16	2024-03-16
245	1483	Classic	2021-10-08	2024-10-08
246	1492	Classic	2021-02-08	2024-02-08
247	1500	Junior	2020-10-08	2023-10-08
248	1512	Classic	2021-03-01	2024-03-01
249	1517	Classic	2021-02-06	2024-02-06
250	1522	Classic	2021-06-30	2024-06-30
251	1525	Classic	2020-10-23	2023-10-23
252	1529	Classic	2020-09-02	2023-09-02
253	1536	Gold	2021-11-14	2024-11-14
254	1578	Classic	2020-11-11	2023-11-11
255	1579	Gold	2021-10-01	2024-10-01
256	1583	Classic	2020-05-26	2023-05-26
257	1589	Classic	2021-11-20	2024-11-20
258	1607	Classic	2020-01-26	2023-01-26
259	1610	Classic	2020-09-05	2023-09-05
260	1616	Classic	2021-07-05	2024-07-05
261	1629	Gold	2018-11-09	2021-11-09
262	1647	Junior	2018-08-24	2021-08-24
263	1668	Gold	2021-04-17	2024-04-17
264	1669	Classic	2021-10-07	2024-10-07
265	1680	Classic	2019-06-28	2022-06-28
266	1690	Classic	2020-03-04	2023-03-04
267	1691	Junior	2019-03-09	2022-03-09
268	1707	Gold	2020-12-11	2023-12-11
269	1718	Gold	2021-03-22	2024-03-22
270	1736	Junior	2020-06-17	2023-06-17
272	1754	Junior	2019-10-28	2022-10-28
273	1758	Classic	2020-11-07	2023-11-07
274	1759	Classic	2021-01-21	2024-01-21
275	1762	Classic	2020-05-20	2023-05-20
276	1765	Classic	2021-03-07	2024-03-07
277	1777	Gold	2021-07-12	2024-07-12
278	1779	Classic	2019-08-15	2022-08-15
279	1791	Classic	2020-09-21	2023-09-21
280	1793	Classic	2020-06-22	2023-06-22
281	1795	Classic	2020-12-22	2023-12-22
282	1799	Gold	2020-12-13	2023-12-13
283	1800	Classic	2021-02-25	2024-02-25
284	1807	Classic	2021-05-07	2024-05-07
285	1811	Gold	2021-09-10	2024-09-10
286	1812	Gold	2019-04-21	2022-04-21
287	1819	Junior	2020-06-28	2023-06-28
288	1826	Classic	2021-10-10	2024-10-10
289	1831	Junior	2019-04-08	2022-04-08
290	1833	Classic	2021-03-24	2024-03-24
291	1836	Classic	2021-09-29	2024-09-29
292	1842	Gold	2020-01-18	2023-01-18
293	1850	Classic	2020-02-17	2023-02-17
294	1861	Classic	2019-12-04	2022-12-04
295	1864	Classic	2021-10-26	2024-10-26
296	1876	Gold	2018-11-13	2021-11-13
297	1883	Classic	2020-06-15	2023-06-15
298	1885	Classic	2020-01-17	2023-01-17
299	1886	Classic	2021-10-25	2024-10-25
300	1890	Classic	2019-11-20	2022-11-20
301	1899	Classic	2021-07-07	2024-07-07
302	1900	Classic	2019-03-31	2022-03-31
303	1912	Classic	2019-08-01	2022-08-01
304	1913	Classic	2021-01-06	2024-01-06
305	1914	Classic	2020-05-23	2023-05-23
306	1929	Classic	2021-12-11	2024-12-11
307	1930	Gold	2021-09-05	2024-09-05
308	1938	Classic	2021-07-30	2024-07-30
309	1946	Classic	2017-09-19	2020-09-19
310	1947	Junior	2021-12-23	2024-12-23
311	1954	Classic	2020-07-01	2023-07-01
312	1971	Classic	2019-06-08	2022-06-08
313	1980	Classic	2019-06-17	2022-06-17
314	1999	Junior	2018-01-27	2021-01-27
315	2005	Junior	2021-03-24	2024-03-24
316	2013	Classic	2020-06-17	2023-06-17
317	2015	Classic	2021-06-10	2024-06-10
319	2038	Junior	2021-08-02	2024-08-02
320	2045	Classic	2019-07-11	2022-07-11
321	2058	Gold	2021-08-16	2024-08-16
322	2063	Classic	2021-12-28	2024-12-28
323	2065	Junior	2021-07-24	2024-07-24
324	2074	Classic	2020-02-19	2023-02-19
325	2102	Classic	2020-01-12	2023-01-12
326	2104	Classic	2020-12-14	2023-12-14
327	2117	Classic	2020-10-03	2023-10-03
328	2121	Junior	2021-09-12	2024-09-12
329	2122	Gold	2020-11-19	2023-11-19
330	2124	Classic	2021-04-11	2024-04-11
331	2125	Gold	2021-05-01	2024-05-01
332	2126	Classic	2021-06-19	2024-06-19
333	2128	Classic	2021-11-04	2024-11-04
334	2133	Classic	2021-03-13	2024-03-13
335	2137	Classic	2021-09-25	2024-09-25
336	2138	Junior	2021-10-09	2024-10-09
337	2141	Classic	2019-01-01	2022-01-01
338	2146	Classic	2021-04-16	2024-04-16
339	2154	Classic	2021-10-19	2024-10-19
340	2155	Classic	2021-01-25	2024-01-25
341	2156	Gold	2021-12-06	2024-12-06
342	2157	Classic	2018-09-27	2021-09-27
343	2164	Classic	2020-09-21	2023-09-21
344	2168	Classic	2021-07-27	2024-07-27
345	2175	Classic	2021-11-07	2024-11-07
346	2177	Classic	2021-08-14	2024-08-14
347	2184	Classic	2020-02-11	2023-02-11
348	2203	Classic	2021-02-02	2024-02-02
349	2214	Classic	2020-05-26	2023-05-26
350	2226	Classic	2020-04-20	2023-04-20
351	2232	Classic	2021-11-01	2024-11-01
352	2235	Classic	2021-09-11	2024-09-11
353	2259	Classic	2020-06-11	2023-06-11
354	2265	Gold	2021-06-30	2024-06-30
355	2267	Classic	2020-08-28	2023-08-28
356	2268	Classic	2020-09-13	2023-09-13
357	2277	Junior	2021-09-29	2024-09-29
358	2287	Junior	2021-05-23	2024-05-23
359	2299	Classic	2020-10-29	2023-10-29
360	2308	Classic	2021-02-24	2024-02-24
361	2312	Classic	2021-09-23	2024-09-23
362	2320	Gold	2021-06-21	2024-06-21
363	2324	Junior	2019-12-11	2022-12-11
364	2329	Classic	2019-02-28	2022-02-28
365	2332	Classic	2021-06-23	2024-06-23
366	2335	Classic	2021-10-09	2024-10-09
367	2343	Classic	2021-08-27	2024-08-27
368	2361	Classic	2021-01-10	2024-01-10
369	2363	Classic	2017-11-08	2020-11-08
370	2374	Classic	2021-04-03	2024-04-03
371	2388	Gold	2021-12-13	2024-12-13
372	2395	Classic	2019-03-31	2022-03-31
373	2401	Classic	2020-11-18	2023-11-18
374	2423	Classic	2019-11-08	2022-11-08
375	2425	Junior	2020-05-17	2023-05-17
376	2428	Classic	2017-11-10	2020-11-10
377	2429	Classic	2017-03-03	2020-03-03
378	2430	Classic	2021-12-11	2024-12-11
379	2431	Classic	2019-01-12	2022-01-12
380	2434	Classic	2020-12-15	2023-12-15
381	2440	Classic	2019-10-27	2022-10-27
382	2445	Gold	2020-11-22	2023-11-22
383	2469	Classic	2020-07-30	2023-07-30
384	2475	Junior	2017-09-15	2020-09-15
385	2476	Classic	2021-10-12	2024-10-12
386	2478	Classic	2021-08-14	2024-08-14
387	2481	Classic	2020-04-18	2023-04-18
388	2488	Junior	2021-11-26	2024-11-26
389	2489	Gold	2021-09-19	2024-09-19
390	2490	Classic	2019-10-14	2022-10-14
391	2493	Classic	2021-02-24	2024-02-24
392	2496	Classic	2021-11-22	2024-11-22
393	2498	Junior	2018-12-03	2021-12-03
394	2501	Classic	2021-10-05	2024-10-05
395	2502	Classic	2021-08-24	2024-08-24
396	2508	Classic	2021-07-26	2024-07-26
397	2513	Classic	2018-06-24	2021-06-24
398	2522	Classic	2021-02-14	2024-02-14
399	2527	Classic	2020-05-22	2023-05-22
400	2529	Classic	2020-04-06	2023-04-06
401	2532	Classic	2021-01-19	2024-01-19
402	2536	Classic	2021-09-03	2024-09-03
403	2538	Junior	2020-07-12	2023-07-12
404	2540	Junior	2021-11-12	2024-11-12
405	2542	Classic	2021-08-31	2024-08-31
406	2548	Classic	2021-08-16	2024-08-16
407	2555	Classic	2019-07-11	2022-07-11
408	2560	Classic	2019-12-10	2022-12-10
409	2562	Classic	2021-11-16	2024-11-16
410	2569	Classic	2018-07-20	2021-07-20
411	2572	Classic	2021-07-15	2024-07-15
412	2585	Classic	2021-05-09	2024-05-09
413	2592	Junior	2020-07-20	2023-07-20
414	2606	Classic	2021-09-26	2024-09-26
415	2609	Classic	2021-05-25	2024-05-25
416	2616	Classic	2021-10-01	2024-10-01
417	2619	Classic	2021-03-30	2024-03-30
418	2623	Classic	2018-04-14	2021-04-14
419	2626	Classic	2021-02-28	2024-02-28
421	2644	Classic	2021-04-27	2024-04-27
422	2650	Junior	2018-07-11	2021-07-11
423	2657	Classic	2019-02-19	2022-02-19
424	2659	Classic	2021-11-06	2024-11-06
425	2662	Junior	2021-09-04	2024-09-04
426	2686	Classic	2020-05-09	2023-05-09
427	2688	Gold	2019-01-25	2022-01-25
428	2698	Classic	2020-10-13	2023-10-13
429	2709	Classic	2021-11-05	2024-11-05
430	2713	Classic	2020-05-26	2023-05-26
431	2715	Gold	2020-09-12	2023-09-12
433	2724	Classic	2019-12-12	2022-12-12
434	2739	Classic	2020-12-30	2023-12-30
435	2740	Classic	2021-07-15	2024-07-15
436	2759	Classic	2020-10-09	2023-10-09
437	2762	Classic	2017-06-01	2020-06-01
438	2768	Classic	2020-10-30	2023-10-30
439	2779	Classic	2021-07-23	2024-07-23
440	2782	Classic	2021-07-07	2024-07-07
441	2785	Classic	2019-11-05	2022-11-05
442	2796	Classic	2021-12-26	2024-12-26
443	2808	Classic	2020-06-29	2023-06-29
444	2815	Gold	2021-04-03	2024-04-03
445	2820	Gold	2021-11-19	2024-11-19
446	2841	Classic	2021-06-04	2024-06-04
447	2845	Classic	2021-10-07	2024-10-07
448	2864	Classic	2021-04-29	2024-04-29
449	2865	Classic	2021-10-28	2024-10-28
450	2880	Classic	2021-07-07	2024-07-07
451	2888	Junior	2021-04-16	2024-04-16
452	2910	Classic	2021-12-19	2024-12-19
453	2911	Gold	2021-07-12	2024-07-12
454	2921	Classic	2020-08-01	2023-08-01
455	2924	Classic	2021-11-13	2024-11-13
456	2929	Classic	2021-05-16	2024-05-16
457	2948	Junior	2021-05-16	2024-05-16
458	2951	Gold	2021-05-14	2024-05-14
459	2958	Gold	2021-02-11	2024-02-11
460	2971	Classic	2021-10-05	2024-10-05
461	2977	Gold	2021-08-21	2024-08-21
462	2978	Classic	2018-12-30	2021-12-30
463	2982	Classic	2021-02-26	2024-02-26
464	2984	Classic	2018-02-21	2021-02-21
465	2995	Classic	2021-05-15	2024-05-15
466	2998	Classic	2021-11-25	2024-11-25
467	3019	Classic	2018-06-05	2021-06-05
468	3023	Classic	2018-01-30	2021-01-30
469	3026	Classic	2021-06-07	2024-06-07
470	3036	Classic	2019-09-02	2022-09-02
471	3037	Classic	2020-06-09	2023-06-09
472	3056	Classic	2020-11-24	2023-11-24
473	3063	Classic	2021-12-22	2024-12-22
474	3066	Junior	2021-01-24	2024-01-24
475	3075	Gold	2021-05-31	2024-05-31
476	3079	Classic	2020-07-06	2023-07-06
477	3082	Junior	2018-01-16	2021-01-16
478	3084	Classic	2017-10-09	2020-10-09
479	3085	Classic	2021-12-16	2024-12-16
480	3092	Classic	2021-09-01	2024-09-01
481	3102	Junior	2021-01-06	2024-01-06
482	3104	Junior	2021-01-13	2024-01-13
483	3115	Classic	2017-11-24	2020-11-24
484	3116	Classic	2018-07-04	2021-07-04
485	3124	Classic	2021-07-08	2024-07-08
486	3128	Gold	2021-12-25	2024-12-25
487	3130	Classic	2021-11-18	2024-11-18
488	3134	Gold	2021-10-20	2024-10-20
489	3135	Classic	2021-11-29	2024-11-29
490	3136	Gold	2020-02-07	2023-02-07
491	3151	Classic	2020-08-21	2023-08-21
492	3166	Classic	2021-04-09	2024-04-09
493	3167	Classic	2020-11-30	2023-11-30
494	3173	Classic	2020-06-10	2023-06-10
495	3181	Classic	2020-09-02	2023-09-02
496	3183	Junior	2021-07-21	2024-07-21
497	3184	Classic	2018-03-03	2021-03-03
498	3186	Classic	2021-04-18	2024-04-18
499	3187	Classic	2019-04-03	2022-04-03
500	3192	Classic	2021-11-26	2024-11-26
501	3197	Classic	2018-07-09	2021-07-09
502	3201	Classic	2020-08-22	2023-08-22
503	3225	Classic	2018-03-08	2021-03-08
504	3230	Junior	2018-11-06	2021-11-06
505	3233	Junior	2021-10-09	2024-10-09
506	3236	Gold	2021-12-19	2024-12-19
507	3245	Classic	2020-12-11	2023-12-11
508	3249	Classic	2021-08-03	2024-08-03
509	3253	Gold	2021-07-30	2024-07-30
510	3256	Classic	2021-04-13	2024-04-13
511	3257	Junior	2020-08-06	2023-08-06
512	3259	Classic	2020-07-24	2023-07-24
513	3260	Classic	2020-03-15	2023-03-15
514	3267	Classic	2019-09-10	2022-09-10
515	3268	Classic	2021-03-23	2024-03-23
516	3279	Classic	2019-10-25	2022-10-25
517	3291	Classic	2021-01-09	2024-01-09
518	3292	Gold	2021-02-10	2024-02-10
519	3297	Classic	2021-08-16	2024-08-16
520	3308	Classic	2021-09-25	2024-09-25
521	3310	Classic	2020-12-17	2023-12-17
523	3319	Junior	2021-11-23	2024-11-23
524	3333	Classic	2021-11-02	2024-11-02
525	3337	Classic	2021-07-27	2024-07-27
526	3339	Classic	2021-09-10	2024-09-10
527	3348	Junior	2021-12-14	2024-12-14
528	3356	Classic	2019-10-31	2022-10-31
529	3357	Classic	2021-02-27	2024-02-27
530	3360	Classic	2021-07-25	2024-07-25
531	3378	Gold	2021-08-24	2024-08-24
532	3382	Classic	2020-11-30	2023-11-30
533	3384	Classic	2021-10-09	2024-10-09
534	3387	Classic	2020-01-29	2023-01-29
535	3395	Classic	2021-03-22	2024-03-22
536	3404	Classic	2020-12-13	2023-12-13
537	3405	Classic	2020-09-15	2023-09-15
538	3414	Gold	2021-08-20	2024-08-20
539	3415	Classic	2020-04-23	2023-04-23
540	3425	Classic	2020-11-29	2023-11-29
541	3427	Junior	2019-11-26	2022-11-26
542	3439	Classic	2021-10-22	2024-10-22
544	3448	Gold	2021-09-10	2024-09-10
545	3458	Classic	2018-05-30	2021-05-30
546	3465	Gold	2020-08-19	2023-08-19
547	3477	Classic	2019-10-11	2022-10-11
548	3501	Classic	2021-07-16	2024-07-16
549	3504	Classic	2021-12-12	2024-12-12
550	3515	Classic	2021-08-08	2024-08-08
551	3517	Classic	2021-09-03	2024-09-03
552	3519	Classic	2020-10-25	2023-10-25
553	3522	Classic	2020-07-14	2023-07-14
554	3535	Classic	2021-09-29	2024-09-29
555	3544	Classic	2020-11-19	2023-11-19
557	3567	Classic	2021-01-17	2024-01-17
558	3568	Classic	2021-06-07	2024-06-07
559	3573	Classic	2018-06-17	2021-06-17
560	3577	Classic	2021-12-17	2024-12-17
561	3581	Gold	2021-09-28	2024-09-28
562	3583	Classic	2019-11-07	2022-11-07
563	3589	Classic	2017-10-21	2020-10-21
564	3590	Classic	2020-05-06	2023-05-06
565	3601	Gold	2020-01-06	2023-01-06
566	3606	Classic	2020-12-25	2023-12-25
567	3611	Classic	2021-07-08	2024-07-08
568	3615	Classic	2020-03-05	2023-03-05
569	3616	Classic	2020-12-12	2023-12-12
570	3620	Classic	2021-11-14	2024-11-14
571	3627	Junior	2021-07-13	2024-07-13
572	3636	Junior	2020-05-16	2023-05-16
573	3638	Classic	2021-12-23	2024-12-23
574	3640	Junior	2021-02-23	2024-02-23
575	3667	Gold	2020-12-25	2023-12-25
576	3671	Classic	2020-04-30	2023-04-30
577	3687	Classic	2017-02-15	2020-02-15
578	3689	Junior	2020-02-21	2023-02-21
579	3699	Classic	2020-11-18	2023-11-18
580	3713	Classic	2021-11-16	2024-11-16
581	3721	Classic	2021-08-13	2024-08-13
582	3733	Classic	2020-01-22	2023-01-22
583	3735	Classic	2020-04-24	2023-04-24
584	3751	Classic	2021-10-28	2024-10-28
585	3753	Gold	2021-10-01	2024-10-01
586	3756	Classic	2021-05-31	2024-05-31
587	3763	Junior	2019-08-05	2022-08-05
588	3765	Classic	2020-07-08	2023-07-08
589	3766	Junior	2020-12-20	2023-12-20
590	3769	Classic	2020-12-02	2023-12-02
591	3779	Classic	2020-07-23	2023-07-23
592	3782	Junior	2018-08-07	2021-08-07
593	3787	Junior	2021-01-06	2024-01-06
594	3794	Junior	2019-12-27	2022-12-27
596	3811	Classic	2020-10-19	2023-10-19
597	3813	Junior	2020-06-06	2023-06-06
598	3821	Classic	2020-08-23	2023-08-23
599	3824	Gold	2021-03-08	2024-03-08
600	3829	Classic	2019-05-20	2022-05-20
601	3830	Classic	2019-10-08	2022-10-08
602	3846	Junior	2021-04-18	2024-04-18
603	3850	Classic	2021-07-20	2024-07-20
604	3858	Classic	2021-11-04	2024-11-04
605	3874	Classic	2021-12-11	2024-12-11
606	3883	Classic	2019-01-22	2022-01-22
607	3885	Classic	2020-05-17	2023-05-17
608	3890	Classic	2020-12-17	2023-12-17
609	3893	Classic	2019-12-29	2022-12-29
610	3894	Classic	2020-08-29	2023-08-29
611	3896	Classic	2020-11-13	2023-11-13
612	3906	Classic	2020-09-22	2023-09-22
613	3913	Classic	2021-07-23	2024-07-23
614	3938	Junior	2021-10-16	2024-10-16
616	3943	Classic	2020-05-05	2023-05-05
617	3944	Gold	2020-04-09	2023-04-09
618	3947	Classic	2021-07-31	2024-07-31
619	3958	Classic	2021-04-01	2024-04-01
620	3959	Classic	2021-09-17	2024-09-17
621	3970	Junior	2019-03-19	2022-03-19
622	3981	Junior	2020-09-22	2023-09-22
623	3984	Classic	2021-07-25	2024-07-25
624	3985	Junior	2021-02-13	2024-02-13
625	3987	Classic	2020-07-17	2023-07-17
626	3992	Classic	2021-11-30	2024-11-30
627	3994	Classic	2021-07-05	2024-07-05
628	4007	Classic	2020-08-11	2023-08-11
